,date,float_id,latitude,longitude,sea temperature in deg_celcius,sea_water_salinity in psu,Sea Pressure in decibar,cycle number
23,2017-10-04 06:11:37,2903125,9.752,70.94,28.844999313354492,36.37699890136719,20.030000686645508,143
24,2017-10-04 06:11:37,2903125,9.752,70.94,28.843000411987305,36.40800094604492,22.030000686645508,143
25,2017-10-04 06:11:37,2903125,9.752,70.94,28.856000900268555,36.44499969482422,24.030000686645508,143
26,2017-10-04 06:11:37,2903125,9.752,70.94,28.85700035095215,36.45500183105469,26.030000686645508,143
27,2017-10-04 06:11:37,2903125,9.752,70.94,28.851999282836914,36.465999603271484,28.030000686645508,143
28,2017-10-04 06:11:37,2903125,9.752,70.94,28.836000442504883,36.4739990234375,30.030000686645508,143
29,2017-10-04 06:11:37,2903125,9.752,70.94,28.82900047302246,36.47700119018555,32.029998779296875,143
30,2017-10-04 06:11:37,2903125,9.752,70.94,28.822999954223633,36.48099899291992,34.029998779296875,143
31,2017-10-04 06:11:37,2903125,9.752,70.94,28.815000534057617,36.48099899291992,36.130001068115234,143
32,2017-10-04 06:11:37,2903125,9.752,70.94,28.78700065612793,36.48699951171875,38.130001068115234,143
33,2017-10-04 06:11:37,2903125,9.752,70.94,28.650999069213867,36.505001068115234,40.029998779296875,143
34,2017-10-04 06:11:37,2903125,9.752,70.94,28.36199951171875,36.49100112915039,42.029998779296875,143
35,2017-10-04 06:11:37,2903125,9.752,70.94,27.95800018310547,36.44499969482422,44.029998779296875,143
36,2017-10-04 06:11:37,2903125,9.752,70.94,27.69700050354004,36.41299819946289,45.93000030517578,143
37,2017-10-04 06:11:37,2903125,9.752,70.94,26.68600082397461,36.32899856567383,48.029998779296875,143
38,2017-10-04 06:11:37,2903125,9.752,70.94,25.801000595092773,36.26900100708008,50.029998779296875,143
39,2017-10-04 06:11:37,2903125,9.752,70.94,25.25200080871582,36.20399856567383,51.93000030517578,143
40,2017-10-04 06:11:37,2903125,9.752,70.94,24.608999252319336,36.12300109863281,54.029998779296875,143
41,2017-10-04 06:11:37,2903125,9.752,70.94,24.243999481201172,36.073001861572266,56.029998779296875,143
42,2017-10-04 06:11:37,2903125,9.752,70.94,23.708999633789062,35.99599838256836,58.029998779296875,143
43,2017-10-04 06:11:37,2903125,9.752,70.94,23.55299949645996,35.96799850463867,60.029998779296875,143
44,2017-10-04 06:11:37,2903125,9.752,70.94,23.427000045776367,35.94900131225586,62.029998779296875,143
45,2017-10-04 06:11:37,2903125,9.752,70.94,22.934999465942383,35.89699935913086,64.02999877929688,143
46,2017-10-04 06:11:37,2903125,9.752,70.94,22.44099998474121,35.834999084472656,66.02999877929688,143
47,2017-10-04 06:11:37,2903125,9.752,70.94,21.822999954223633,35.777000427246094,68.02999877929688,143
48,2017-10-04 06:11:37,2903125,9.752,70.94,21.594999313354492,35.78900146484375,70.02999877929688,143
49,2017-10-04 06:11:37,2903125,9.752,70.94,21.430999755859375,35.78099822998047,72.02999877929688,143
50,2017-10-04 06:11:37,2903125,9.752,70.94,21.275999069213867,35.762001037597656,74.02999877929688,143
51,2017-10-04 06:11:37,2903125,9.752,70.94,20.986000061035156,35.75199890136719,76.02999877929688,143
52,2017-10-04 06:11:37,2903125,9.752,70.94,20.621999740600586,35.70199966430664,78.02999877929688,143
53,2017-10-04 06:11:37,2903125,9.752,70.94,20.038999557495117,35.62300109863281,80.02999877929688,143
54,2017-10-04 06:11:37,2903125,9.752,70.94,19.499000549316406,35.54899978637695,82.02999877929688,143
55,2017-10-04 06:11:37,2903125,9.752,70.94,18.804000854492188,35.44300079345703,84.02999877929688,143
56,2017-10-04 06:11:37,2903125,9.752,70.94,18.524999618530273,35.39699935913086,86.02999877929688,143
57,2017-10-04 06:11:37,2903125,9.752,70.94,18.363000869750977,35.37200164794922,88.02999877929688,143
58,2017-10-04 06:11:37,2903125,9.752,70.94,18.06100082397461,35.33599853515625,90.02999877929688,143
59,2017-10-04 06:11:37,2903125,9.752,70.94,17.979000091552734,35.32099914550781,92.02999877929688,143
60,2017-10-04 06:11:37,2903125,9.752,70.94,17.86400032043457,35.30699920654297,94.02999877929688,143
61,2017-10-04 06:11:37,2903125,9.752,70.94,17.562000274658203,35.28099822998047,96.02999877929688,143
62,2017-10-04 06:11:37,2903125,9.752,70.94,17.42799949645996,35.27899932861328,98.02999877929688,143
63,2017-10-04 06:11:37,2903125,9.752,70.94,17.302000045776367,35.26499938964844,100.02999877929688,143
64,2017-10-07 22:26:13,2903125,9.75,70.969,28.66200065612793,36.354000091552734,2.640000104904175,144
65,2017-10-07 22:26:13,2903125,9.75,70.969,28.658000946044922,36.354000091552734,4.039999961853027,144
66,2017-10-07 22:26:13,2903125,9.75,70.969,28.658000946044922,36.35300064086914,6.039999961853027,144
67,2017-10-07 22:26:13,2903125,9.75,70.969,28.659000396728516,36.35300064086914,8.039999961853027,144
68,2017-10-07 22:26:13,2903125,9.75,70.969,28.66200065612793,36.35300064086914,10.039999961853027,144
